Last Name	First and Middle Name	Departments	Faculty	ORCID
Goncharova	Lyudmila	"Chemistry, Physics and Astronomy"	Faculty of Science	
Hedberg	Yolanda	"Chemistry, Surface Science"	Faculty of Science	0000-0003-2145-3650
Hicks	Justin	"Chemistry, Medical Biophysics"	"Faculty of Science, Schulich School of Medicine & Dentistry"	0000-0003-0269-9364
Huang	Yining	Chemistry	Faculty of Science	0000-0001-9265-5896
Hudson	Robert	"Chemistry, Biochemistry"	"Faculty of Science, Schulich School of Medicine & Dentistry"	0000-0002-6530-6479
Karttunen	Mikko	"Chemistry, Physics and Astronomy"	Faculty of Science	0000-0002-8626-3033
Kerr	Michael A.	Chemistry	Faculty of Science	0000-0002-5930-6878
Konermann	Lars	"Chemistry, Biochemistry"	"Faculty of Science, Schulich School of Medicine & Dentistry"	0000-0002-5283-3165
Kovacs	Michael	"Chemistry, Department of Medical Imaging, Medical Biophysics"	"Faculty of Science, Schulich School of Medicine & Dentistry"	0000-0003-0123-1356
Lagugne-Labarthet	Francois	"Chemistry, Physics and Astronomy"	Faculty of Science	0000-0001-9882-9367
Liu	Lijia	Chemistry	Faculty of Science	0000-0003-2439-0739
Luyt	Leonard G	"Chemistry, Oncology"	"Faculty of Science, Schulich School of Medicine & Dentistry"	0000-0002-0941-4731
Noel	James J.	"Chemistry, Surface Science"	Faculty of Science	0000-0003-3467-4778
O'Donoghue	Patrick	"Chemistry, Biochemistry"	"Faculty of Science, Schulich School of Medicine & Dentistry"	0000-0002-9500-8640
Pagenkopf	Brian L	Chemistry	Faculty of Science	0000-0002-3425-2009
Puddephatt	Richard J	Chemistry	Faculty of Science	0000-0002-9846-3075
Ragogna	Paul J.	"Chemistry, Surface Science"	Faculty of Science	0000-0003-2727-7635
Roberts	Megan	Chemistry	Faculty of Science	0000-0003-1819-7502
Sham	Tsun-Kong	"Chemistry, Physics and Astronomy"	Faculty of Science	0000-0003-1928-6697
Shoesmith	David	Chemistry	Faculty of Science	
Song	Yang	"Chemistry, Physics and Astronomy"	Faculty of Science	0000-0001-7853-3737
Staroverov	Viktor N	Chemistry	Faculty of Science	0000-0002-6828-3815
Stillman	Martin J	Chemistry	Faculty of Science	0000-0001-6799-7560
Sumarah	Mark William	Chemistry	Faculty of Science	0000-0003-0977-1656
Wisner	James A	Chemistry	Faculty of Science	0000-0002-1556-7443
Workentin	Mark Steven	Chemistry	Faculty of Science	0000-0001-8517-6483
Al Mtawa	Yaser	Computer Science	Faculty of Science	0000-0002-0553-9385
Andrews	Tallulah Suzanne	"Computer Science, Biochemistry, Oncology"	"Faculty of Science, Schulich School of Medicine & Dentistry"	0000-0003-1120-2196
Bauer	Michael A.	Computer Science	Faculty of Science	
Corless	Robert	Computer Science	Faculty of Science	
Daley	Mark J.	"Computer Science, Department of Biology"	Faculty of Science	0000-0002-6939-9772
Diedrichsen	Jorn	"Computer Science, Statistics & Actuarial Science"	Faculty of Science	0000-0003-0264-8532
Domaratzki	Michael	Computer Science	Faculty of Science	0000-0001-9129-6676
El-Sakka	Mahmoud	Computer Science	Faculty of Science	0000-0002-7877-8280
Elsayed	Marwa A.M.A.	Computer Science	Faculty of Science	0000-0001-9906-5020
Fadlullah	Zubair	Computer Science	Faculty of Science	0000-0002-4785-2425
Gu	Bin	Computer Science	Faculty of Science	
Haque	Anwar	Computer Science	Faculty of Science	0000-0002-5253-0455
Hu	Pingzhao	"Computer Science, Statistics & Actuarial Science, Biochemistry, Epidemiology and Biostatistics, Oncology"	"Faculty of Science, Schulich School of Medicine & Dentistry"	0000-0002-9546-2245
Ilie	Lucian	Computer Science	Faculty of Science	0000-0003-1856-3509
Kari	Lila	Computer Science	Faculty of Science	
Katchabaw	Mike	Computer Science	Faculty of Science	0000-0001-6215-242X
Kontogiannis	Konstantinos	Computer Science	Faculty of Science	
Ling	Charles X	Computer Science	Faculty of Science	0000-0003-3797-1348
Lizotte	Daniel James	"Computer Science, Statistics & Actuarial Science, Epidemiology and Biostatistics, Schulich-IDI-PublicHealthTrans"	"Faculty of Science, Schulich School of Medicine & Dentistry"	0000-0002-9258-8619
Lutfiyya	Hanan	Computer Science	Faculty of Science	0000-0002-5341-9388
Madhavji	Nazim H.	Computer Science	Faculty of Science	0009-0006-5207-3203
Mercer	Robert E	Computer Science	Faculty of Science	0000-0002-0080-715X
Milani	Mostafa Khaghani	Computer Science	Faculty of Science	0000-0002-3386-7079
Minac	Jan	"Computer Science, Mathematics"	Faculty of Science	0000-0002-9807-9604
Mohsenzadeh	Yalda	Computer Science	Faculty of Science	0000-0001-8525-957X
Moreno Maza	Marc	Computer Science	Faculty of Science	0000-0003-3011-0756
Mur	Marieke	"Computer Science, Psychology"	"Faculty of Science, Faculty of Social Science"	0000-0003-1749-9058
Poon	Art F Y	"Computer Science, Microbiology & Immunology, Pathology and Lab Medicine"	"Faculty of Science, Schulich School of Medicine & Dentistry"	0000-0003-3779-154X
Racosta	Juan	"Computer Science, Clinical Neurological Science"	"Faculty of Science, Schulich School of Medicine & Dentistry"	0000-0003-3637-2829
Rehman	Umair	Computer Science	Faculty of Science	0000-0001-7716-6509
Solis-Oba	Roberto	Computer Science	Faculty of Science	0000-0002-7518-4161
Wang	Boyu	Computer Science	Faculty of Science	0000-0002-6108-3589
Yi	Grace Y.	"Computer Science, Statistics & Actuarial Science"	Faculty of Science	0000-0002-0081-873X
Zhang	Kaizhong	Computer Science	Faculty of Science	0009-0006-5735-2949
Asemaninejad Hassankiadeh	Asma	Department of Biology	Faculty of Science	
Bernards	Mark A	Department of Biology	Faculty of Science	0000-0003-1209-3200
Betts	Dean Harvey	"Department of Biology, Obstetrics & Gynaecology, Physiology and Pharmacology"	"Faculty of Science, Schulich School of Medicine & Dentistry"	0000-0002-5528-9142
Birceanu	Oana	"Department of Biology, Physiology and Pharmacology"	"Faculty of Science, Schulich School of Medicine & Dentistry"	0000-0002-3345-8769
Bonner	Simon	"Department of Biology, Statistics & Actuarial Science"	Faculty of Science	0000-0003-2063-4572
Branch	Carrie Lennette	"Department of Biology, Psychology"	"Faculty of Science, Faculty of Social Science"	0000-0002-4671-2420
Branfireun	Brian Andrew	Department of Biology	Faculty of Science	
Buchkowski	Robert Walter	Department of Biology	Faculty of Science	0000-0001-6381-8609
Bulakbasi Balci	Tugce	"Department of Biology, Biochemistry, Clinical Neurological Science, Paediatrics"	"Faculty of Science, Schulich School of Medicine & Dentistry"	0000-0002-5409-8387
Coltman	David William	Department of Biology	Faculty of Science	0000-0002-1268-2307
Creed	Irena F.	Department of Biology	Faculty of Science	0000-0001-8199-1472
Cui	Yuhai	Department of Biology	Faculty of Science	
Cumming	Robert	Department of Biology	Faculty of Science	0000-0001-6821-7060
Damjanovski	Sashko	Department of Biology	Faculty of Science	0000-0002-3479-721X
DeFalco	Thomas	Department of Biology	Faculty of Science	0000-0003-2897-1485
Dhaubhadel	Sangeeta	Department of Biology	Faculty of Science	0000-0003-2582-5503
Donly	Cameron B.	Department of Biology	Faculty of Science	
Duennwald	Martin	"Department of Biology, Anatomy & Cell Biology, Biochemistry"	"Faculty of Science, Schulich School of Medicine & Dentistry"	0000-0002-9136-4592
Ethier	Danielle	Department of Biology	Faculty of Science	
Feldman	Richard	Department of Biology	Faculty of Science	
Fenton	Melville Brockett	Department of Biology	Faculty of Science	
Filazzola	Alessandro	Department of Biology	Faculty of Science	0000-0001-6544-2035
Grbic	Miodrag	Department of Biology	Faculty of Science	
Grbic	Vojislava	Department of Biology	Faculty of Science	0000-0001-6570-8796
Guglielmo	Christopher G.	Department of Biology	Faculty of Science	
Gustison	Morgan Lynsey	"Department of Biology, Psychology"	"Faculty of Science, Faculty of Social Science"	0000-0002-1162-8966
Hannoufa	Abdelali	Department of Biology	Faculty of Science	0000-0003-0064-620X
Henry	Hugh A. L.	Department of Biology	Faculty of Science	0000-0001-8397-6292
Hill	Kathleen A.	Department of Biology	Faculty of Science	0000-0002-7788-5105
Huner	Norman P. A.	Department of Biology	Faculty of Science	
Karagiannis	Jim	Department of Biology	Faculty of Science	0000-0002-7901-1815
Karas	Bogumil Jacek	"Department of Biology, Biochemistry"	"Faculty of Science, Schulich School of Medicine & Dentistry"	0000-0002-1199-4245
Kelly	Gregory M	"Department of Biology, Physiology and Pharmacology"	"Faculty of Science, Schulich School of Medicine & Dentistry"	0000-0001-8612-364X
Kohalmi	Susanne E.	Department of Biology	Faculty of Science	0000-0002-5852-2771
Lachance	Marc-Andre	Department of Biology	Faculty of Science	
Lazarovits	George	Department of Biology	Faculty of Science	
Lindo	Zoe	Department of Biology	Faculty of Science	0000-0001-9942-7204
Longstaffe	Fred J	"Department of Biology, Earth Sciences, Anthropology"	"Faculty of Science, Faculty of Social Science"	0000-0003-4103-4808
MacBean	Natasha Louise	"Department of Biology, Geography and Environment"	"Faculty of Science, Faculty of Social Science"	0000-0001-6797-4836
MacDougall-Shackleton	Elizabeth	Department of Biology	Faculty of Science	0000-0002-4138-6398
MacDougall-Shackleton	Scott	"Department of Biology, Psychology"	"Faculty of Science, Faculty of Social Science"	0000-0001-8518-765X
Macfie	Sheila M.	Department of Biology	Faculty of Science	0000-0002-7385-4459
Marsolais	Frédéric	Department of Biology	Faculty of Science	0000-0003-3914-141X
Maxwell	Denis P.	Department of Biology	Faculty of Science	
Menassa	Rima	Department of Biology	Faculty of Science	0000-0003-3536-0332
Mensink	Paul Joseph	Department of Biology	Faculty of Science	0000-0003-4036-7088
Mhatre	Natasha Shirish	"Department of Biology, Physics and Astronomy"	Faculty of Science	0000-0002-3618-306X
Milligan	Louise	Department of Biology	Faculty of Science	
Mitchell	Greg	Department of Biology	Faculty of Science	
Moehring	Amanda Jean	Department of Biology	Faculty of Science	0000-0002-8088-4007
Morbey	Yolanda	Department of Biology	Faculty of Science	0000-0003-1719-7842
Pemberton	Joshua George	Department of Biology	Faculty of Science	0000-0002-1492-1471
Percival-Smith	Anthony	Department of Biology	Faculty of Science	
Pyne	Michael E.	Department of Biology	Faculty of Science	0009-0001-2878-9686
Ramsfield	Tod	Department of Biology	Faculty of Science	
Roe	Amanda D	Department of Biology	Faculty of Science	0000-0003-1502-7276
Scott	Ian	Department of Biology	Faculty of Science	0000-0002-1972-6616
Simon	Anne	Department of Biology	Faculty of Science	0000-0002-6509-4541
Sinclair	Brent J	Department of Biology	Faculty of Science	
Singh	Shiva M	Department of Biology	Faculty of Science	
Smith	David	Department of Biology	Faculty of Science	0000-0001-9560-5210
Soolanayakanahally	Raju	Department of Biology	Faculty of Science	
Staples	James Francis	Department of Biology	Faculty of Science	
Szczyglowski	Krzysztof	Department of Biology	Faculty of Science	
Tai	Vera	Department of Biology	Faculty of Science	
Taylor	Phil	Department of Biology	Faculty of Science	
Thomas	Raymond	Department of Biology	Faculty of Science	0000-0002-3078-2352
Thorn	Richard Gregory	Department of Biology	Faculty of Science	0000-0002-7199-6226
Timoshenko	Alexander	"Department of Biology, Oncology"	"Faculty of Science, Schulich School of Medicine & Dentistry"	
Topp	Edward	Department of Biology	Faculty of Science	0000-0002-8273-9372
Trick	Charles G	Department of Biology	Faculty of Science	
Usman	Umarah	Department of Biology	Faculty of Science	
Wagg	Cameron	Department of Biology	Faculty of Science	0000-0002-9738-6901
Wang	Aiming	Department of Biology	Faculty of Science	
Way	Danielle A	Department of Biology	Faculty of Science	
Zanette	Liana	Department of Biology	Faculty of Science	
Assatourians	Karen	Earth Sciences	Faculty of Science	
Atkinson	Gail Marie	Earth Sciences	Faculty of Science	0000-0003-2403-1349
Bain	Wyatt	Earth Sciences	Faculty of Science	
Banerjee	Neil R	Earth Sciences	Faculty of Science	0000-0001-7471-766X
Blamey	Nigel	Earth Sciences	Faculty of Science	
Brunton	Frank	Earth Sciences	Faculty of Science	
Corcoran	Patricia	Earth Sciences	Faculty of Science	
Flemming	Roberta	Earth Sciences	Faculty of Science	0000-0003-1688-7753
Ghofrani	Hadi	Earth Sciences	Faculty of Science	
Goda	Katsuichiro	"Earth Sciences, Statistics & Actuarial Science"	Faculty of Science	0000-0003-3900-2153
Good	David	Earth Sciences	Faculty of Science	0000-0001-8602-7586
Hart	Bruce	Earth Sciences	Faculty of Science	
Jiang	Dazhi	Earth Sciences	Faculty of Science	0000-0003-3245-3322
Jin	Jisuo	Earth Sciences	Faculty of Science	0000-0002-6109-7657
Li	Yanping	"Earth Sciences, Physics and Astronomy"	Faculty of Science	
Lightfoot	Peter C	Earth Sciences	Faculty of Science	
Linnen	Robert	Earth Sciences	Faculty of Science	
McCausland	Philip John Albert	Earth Sciences	Faculty of Science	0000-0003-3030-7524
McDonald	Dean William Arthur	Earth Sciences	Faculty of Science	
Molnar	Sheri Elizabeth	Earth Sciences	Faculty of Science	 0000-0002-7391-9806
Moser	Desmond	"Earth Sciences, Geography and Environment"	"Faculty of Science, Faculty of Social Science"	0000-0001-7299-214X
Neish	Catherine	"Earth Sciences, Physics and Astronomy"	Faculty of Science	0000-0003-3254-8348
Osinski	Gordon R	Earth Sciences	Faculty of Science	0000-0002-1832-5925
Plint	A. Guy	Earth Sciences	Faculty of Science	
Pontefract	Alexandra	Earth Sciences	Faculty of Science	0009-0009-1510-2425
Schincariol	Robert A	Earth Sciences	Faculty of Science	
Schmidt	Mariek E	Earth Sciences	Faculty of Science	
Secco	Richard A.	Earth Sciences	Faculty of Science	0000-0001-5029-659X
Shchepetkina	Alina	Earth Sciences	Faculty of Science	
Shcherbakov	Robert	"Earth Sciences, Physics and Astronomy"	Faculty of Science	0000-0002-3057-0851
Shieh	Sean	"Earth Sciences, Physics and Astronomy"	Faculty of Science	0000-0001-7573-3039
Shuster	Jeremiah Paul	Earth Sciences	Faculty of Science	0000-0002-9839-6618
Silber	Elizabeth Allaryce	Earth Sciences	Faculty of Science	0000-0003-4778-1409
Southam	Gordon	Earth Sciences	Faculty of Science	0000-0002-8941-1249
Tornabene	Livio Leonardo	Earth Sciences	Faculty of Science	0000-0002-1479-6711
Tsujita	Cameron James	Earth Sciences	Faculty of Science	0000-0001-5687-2658
Van Loon	Lisa	"Earth Sciences, Anthropology"	"Faculty of Science, Faculty of Social Science"	
Webb	Elizabeth	Earth Sciences	Faculty of Science	0009-0007-4983-542X
Yong	Wenjun	Earth Sciences	Faculty of Science	
Adamus	Janusz A	Mathematics	Faculty of Science	
Barron	Tatyana	Mathematics	Faculty of Science	0000-0001-9184-9306
Bertram	Jason	Mathematics	Faculty of Science	0000-0001-5374-6912
Brysiewicz	Taylor C.	Mathematics	Faculty of Science	0000-0003-4272-5934
Chan	Kelvin Tian Yi	Mathematics	Faculty of Science	
Denham	Graham	Mathematics	Faculty of Science	0009-0003-1421-9118
Dhillon	Ajneet S	Mathematics	Faculty of Science	0000-0001-9871-9168
Franz	Matthias	Mathematics	Faculty of Science	
Hall	Christopher	Mathematics	Faculty of Science	
Jeffrey	David	Mathematics	Faculty of Science	0000-0002-2161-6803
Kapulkin	Krzysztof Rysza	Mathematics	Faculty of Science	0000-0002-8141-2554
Khalkhali	Masoud	Mathematics	Faculty of Science	
Lemire	Nicole	Mathematics	Faculty of Science	
Medina Mardones	Anibal Maximiliano	Mathematics	Faculty of Science	0000-0002-0905-262X
Muller	Lyle Edward	Mathematics	Faculty of Science	0000-0001-5165-9890
Pinsonnault	Martin	Mathematics	Faculty of Science	0000-0003-2313-3378
Reid	Gregory J.	Mathematics	Faculty of Science	
Riley	David Michael	Mathematics	Faculty of Science	
Sendov	Hristo S	"Mathematics, Statistics & Actuarial Science"	Faculty of Science	
Shafikov	Rasul	Mathematics	Faculty of Science	
Sinnamon	Gordon J	Mathematics	Faculty of Science	0009-0004-6293-456X
Verberne	Yvon LM	Mathematics	Faculty of Science	0000-0002-7150-5976
Wahl	Linda M.	Mathematics	Faculty of Science	
Wild	Geoff	Mathematics	Faculty of Science	0000-0001-7821-7304
Yu	Pei	Mathematics	Faculty of Science	
Zamir	Mair	Mathematics	Faculty of Science	
Zou	Xingfu	Mathematics	Faculty of Science	0000-0002-8403-3314
Baker	Mark Robert	Physics and Astronomy	Faculty of Science	0000-0003-3641-0020
Barmby	Pauline M	Physics and Astronomy	Faculty of Science	0000-0003-2767-0090
Basu	Shantanu	Physics and Astronomy	Faculty of Science	0000-0003-0855-350X
Brown	Peter G.	Physics and Astronomy	Faculty of Science	0000-0001-6130-7039
Buchel	Alex S	Physics and Astronomy	Faculty of Science	
Cami	Jan	Physics and Astronomy	Faculty of Science	0000-0002-2666-9234
Campbell-Brown	Margaret Diane	Physics and Astronomy	Faculty of Science	0000-0001-6010-1784
Chronik	Blaine Alexander	"Physics and Astronomy, Department of Medical Imaging"	"Faculty of Science, Schulich School of Medicine & Dentistry"	0000-0001-6086-9806
Connors	Martin	Physics and Astronomy	Faculty of Science	
de Bruyn	John R	Physics and Astronomy	Faculty of Science	
Denniston	Colin D	Physics and Astronomy	Faculty of Science	0000-0002-6723-0455
Egal	Auriane	Physics and Astronomy	Faculty of Science	
Erdemci Tandogan	Gonca	"Physics and Astronomy, Medical Biophysics"	"Faculty of Science, Schulich School of Medicine & Dentistry"	0000-0001-6955-8692
Fox	Matthew	"Physics and Astronomy, Medical Biophysics"	"Faculty of Science, Schulich School of Medicine & Dentistry"	
Gallagher	Sarah	Physics and Astronomy	Faculty of Science	0000-0001-6217-8101
Garbanzo Salas	Marcial	Physics and Astronomy	Faculty of Science	
Haefele	Alexander	Physics and Astronomy	Faculty of Science	
Hocking	Wayne K	Physics and Astronomy	Faculty of Science	
Houde	Martin	Physics and Astronomy	Faculty of Science	0000-0003-2266-6519
Jones	Carol E.	Physics and Astronomy	Faculty of Science	0000-0001-9900-1000
Metchev	Stanimir	Physics and Astronomy	Faculty of Science	0000-0003-3050-8203
Mirzaei	Amir	Physics and Astronomy	Faculty of Science	
Nie	Heng-Yong	Physics and Astronomy	Faculty of Science	0000-0002-8287-5171
Ouriadov	Alexei	Physics and Astronomy	Faculty of Science	0000-0002-0920-2528
Peeters	Els	Physics and Astronomy	Faculty of Science	0000-0002-2541-1602
Poepping	Tamie	"Physics and Astronomy, Medical Biophysics"	"Faculty of Science, Schulich School of Medicine & Dentistry"	0000-0002-4953-5204
Schielicke	Lisa	Physics and Astronomy	Faculty of Science	0000-0001-9083-4591
Shi	Yu	Physics and Astronomy	Faculty of Science	0000-0002-8827-7500
Sigut	Thomas A.	Physics and Astronomy	Faculty of Science	0000-0002-0803-8615
Singh	Mahi R	Physics and Astronomy	Faculty of Science	
Soddu	Andrea	Physics and Astronomy	Faculty of Science	0000-0001-6833-745X
Trichtchenko	Olga	Physics and Astronomy	Faculty of Science	
Valluri	Sree Ram	Physics and Astronomy	Faculty of Science	
Vida	Denis	Physics and Astronomy	Faculty of Science	
Wiegert	Paul	Physics and Astronomy	Faculty of Science	0000-0002-1914-5352
Wong	Eugene Cheuk Man	"Physics and Astronomy, Medical Biophysics, Oncology"	"Faculty of Science, Schulich School of Medicine & Dentistry"	0000-0001-6869-0122
Davison	Matt	Science - Office of the Dean	Faculty of Science	0000-0001-7948-4658
Agarwal	Ankush	Statistics & Actuarial Science	Faculty of Science	0000-0001-7826-9665
Ahmed	S.Ejaz	Statistics & Actuarial Science	Faculty of Science	
Bravo Roman	Cristian Danilo	Statistics & Actuarial Science	Faculty of Science	0000-0003-1579-1565
Choi	Yun-Hee	"Statistics & Actuarial Science, Epidemiology and Biostatistics"	"Faculty of Science, Schulich School of Medicine & Dentistry"	0000-0002-5533-509X
Escobar-Anel	Marcos	Statistics & Actuarial Science	Faculty of Science	
Gweon	Hyukjun	Statistics & Actuarial Science	Faculty of Science	0000-0001-9035-984X
He	Wenqing	Statistics & Actuarial Science	Faculty of Science	0000-0002-8913-9273
Huang	Guowen	Statistics & Actuarial Science	Faculty of Science	0000-0002-0822-9817
Kulperger	Reginald J	Statistics & Actuarial Science	Faculty of Science	
Kumbhare	Dinesh	Statistics & Actuarial Science	Faculty of Science	0000-0003-3889-7557
Li	Shu	Statistics & Actuarial Science	Faculty of Science	0000-0001-6901-0053
Oskarsdottir	Maria	Statistics & Actuarial Science	Faculty of Science	
Pedroso Estevam de Souza	Camila	Statistics & Actuarial Science	Faculty of Science	0000-0002-4465-5792
Provost	Serge	Statistics & Actuarial Science	Faculty of Science	
Reesor	R. Mark	Statistics & Actuarial Science	Faculty of Science	
Ren	Jiandong	Statistics & Actuarial Science	Faculty of Science	
Rodrigues	Felipe Fontes	Statistics & Actuarial Science	Faculty of Science	0000-0001-9370-5998
Sendova	Kristina Paskova	Statistics & Actuarial Science	Faculty of Science	0000-0001-7367-1911
Stentoft	Lars	"Statistics & Actuarial Science, Economics"	"Faculty of Science, Faculty of Social Science"	0000-0003-0655-1455
Woolford	Douglas Graham	Statistics & Actuarial Science	Faculty of Science	
Yu	Hao	Statistics & Actuarial Science	Faculty of Science	
Zitikis	Ricardas	Statistics & Actuarial Science	Faculty of Science	0000-0002-2663-0030
Bathurst	Rhonda Rene	Anthropology	Faculty of Social Science	
Beckett	Gregory Alan	Anthropology	Faculty of Social Science	0000-0002-8875-9374
Bell	Lindsay A.	Anthropology	Faculty of Social Science	0000-0001-5750-3838
Farah	Randa	Anthropology	Faculty of Social Science	0000-0001-7886-1546
Fehr	Rick	"Anthropology, Indigenous Studies"	Faculty of Social Science	
Ferris	Neal	Anthropology	Faculty of Social Science	
Hawkins	Alicia	Anthropology	Faculty of Social Science	
Hodgetts	Lisa	Anthropology	Faculty of Social Science	0000-0001-7114-0738
Kirkpatrick	Casey	Anthropology	Faculty of Social Science	0000-0001-9755-6459
Markert	Patricia Grace	Anthropology	Faculty of Social Science	0009-0001-1257-7072
McKinley	Gerald Patrick	"Anthropology, Pathology and Lab Medicine, Schulich-IDI-PublicHealthTrans"	"Faculty of Social Science, Schulich School of Medicine & Dentistry"	0000-0003-1449-2715
Millaire	Jean-Francois	Anthropology	Faculty of Social Science	
Nelson	Andrew J	Anthropology	Faculty of Social Science	0000-0001-6398-7314
Pennesi	Karen Elizabeth	Anthropology	Faculty of Social Science	0000-0002-4093-185X
Sghinolfi	Amedeo	Anthropology	Faculty of Social Science	
Stock	Jay Theodore	Anthropology	Faculty of Social Science	0000-0003-0147-8631
Timmins	Peter A	Anthropology	Faculty of Social Science	0009-0004-8148-3709
Trombley	Jeremy	Anthropology	Faculty of Social Science	
Walsh	Andrew F	Anthropology	Faculty of Social Science	0000-0001-6384-214X
Waters	Andrea Lynn	Anthropology	Faculty of Social Science	0000-0003-1807-3171
Wylie	Lloy	"Anthropology, Pathology and Lab Medicine, Psychiatry, Schulich-IDI-PublicHealthTrans"	"Faculty of Social Science, Schulich School of Medicine & Dentistry"	0000-0001-6571-4045
Luginaah	Isaac	"Ctr for Climate Change WeCLISH, Geography and Environment, Epidemiology and Biostatistics"	"Faculty of Social Science, Schulich School of Medicine & Dentistry"	0000-0001-7858-3048
Esses	Victoria M	"Ctr. for Migration & Ethnic Rl, NEST-Network for Econ and Soc, Psychology"	Faculty of Social Science	0000-0001-8002-2725
Rivers	David	"Ctr-Human Capital & Product, Economics"	Faculty of Social Science	0009-0001-5936-8235
Quinn	Joanna Rae	"Ctr-Transl Justice & Post Con, Political Science, Sociology"	Faculty of Social Science	0000-0002-5989-9933
Arku	Godwin	"Ctr-Urban Policy & Local Gov, Geography and Environment"	Faculty of Social Science	0000-0001-7720-1554
Buzzelli	Michele Damiano	"Ctr-Urban Policy & Local Gov, Geography and Environment"	Faculty of Social Science	0009-0003-5047-6584
Horak	Martin	"Ctr-Urban Policy & Local Gov, Political Science"	Faculty of Social Science	0000-0001-7580-1011
Taylor	Zachary	"Ctr-Urban Policy & Local Gov, Political Science"	Faculty of Social Science	0000-0001-9372-2704
Andrejkow	Joanna	DAN Management	Faculty of Social Science	0009-0003-3579-5210
Basnet	Anup	DAN Management	Faculty of Social Science	0000-0002-0558-7221
Blue	Levon E	DAN Management	Faculty of Social Science	0000-0001-9046-7832
Brou	Daniel	DAN Management	Faculty of Social Science	0000-0003-0638-727X
Cleveland	Mark	DAN Management	Faculty of Social Science	0000-0001-7605-1996
Connors	Scott	DAN Management	Faculty of Social Science	0000-0002-9076-9221
Haider	Zulfiquer	DAN Management	Faculty of Social Science	0009-0008-7207-4953
Hancock	Samantha Elizabeth	"DAN Management, Psychology"	Faculty of Social Science	0000-0001-6326-2858
Harvey	Geraint	DAN Management	Faculty of Social Science	0000-0001-8442-7527
Hewitt	Christopher Elliott	DAN Management	Faculty of Social Science	
Hyodo	Jamie Dale	DAN Management	Faculty of Social Science	0000-0001-5441-5410
Jean	Melissa	DAN Management	Faculty of Social Science	
Lee	Wonkyong(Beth)	DAN Management	Faculty of Social Science	0000-0002-0044-9102
Liu	Yini	DAN Management	Faculty of Social Science	0000-0003-2548-6169
Qi	Zhen	DAN Management	Faculty of Social Science	
Robertson	Jennifer	"DAN Management, Psychology"	Faculty of Social Science	0000-0001-9402-9629
Schermer	Julie Aitken	"DAN Management, Psychology"	Faculty of Social Science	0000-0002-3469-7710
Sharen	Colleen	DAN Management	Faculty of Social Science	0000-0003-1472-5240
Sheikh	Shahbaz A	DAN Management	Faculty of Social Science	
Simpson	Bonnie	"DAN Management, Psychology"	Faculty of Social Science	0000-0003-3929-8935
Stentoft	Lene Kromann	DAN Management	Faculty of Social Science	0009-0008-1154-1028
Veselka	Livia	DAN Management	Faculty of Social Science	0000-0002-9959-3007
Wood	Geoffrey Thomas	DAN Management	Faculty of Social Science	0000-0001-9709-1823
Zhan	Feng	DAN Management	Faculty of Social Science	0000-0002-1190-3817
Allen	Roy	Economics	Faculty of Social Science	0009-0006-3963-5195
Caucutt	Elizabeth	Economics	Faculty of Social Science	0009-0002-4967-5706
Chung	Tai-Yeong	Economics	Faculty of Social Science	0009-0003-1583-4729
Cociuba	Simona	Economics	Faculty of Social Science	0009-0001-6347-3978
Conley	Timothy	Economics	Faculty of Social Science	0009-0006-7520-3330
Cruz Lopez	Jorge	Economics	Faculty of Social Science	0000-0003-3850-2543
Dippel	Christian	"Economics, Ivey - Associate Dean"	"Faculty of Social Science, Richard Ivey School of Business"	0009-0002-1810-7220
Goltsman	Maria	Economics	Faculty of Social Science	0009-0008-7765-1115
Hatchondo Couture	Juan Carlos	Economics	Faculty of Social Science	0000-0002-6847-6887
Hossain	Mohammad Iftekher	Economics	Faculty of Social Science	
Kashaev	Nail	Economics	Faculty of Social Science	0000-0002-2326-7352
Khan	Md Shahed	Economics	Faculty of Social Science	
Kovacs	Paul	Economics	Faculty of Social Science	
Lochner	Lance John	Economics	Faculty of Social Science	0009-0006-6980-8894
McGee	Rory	Economics	Faculty of Social Science	0009-0001-1795-085X
Mehta	Nirav A	Economics	Faculty of Social Science	0000-0003-1698-836X
Navarro	Salvador	Economics	Faculty of Social Science	0009-0003-4202-6209
Ocampo Diaz	Sergio	Economics	Faculty of Social Science	0000-0002-5118-7552
Pavlov	Gregory	Economics	Faculty of Social Science	0000-0003-0094-7512
Ramanarayanan	Ananth	Economics	Faculty of Social Science	0000-0003-1287-5966
Robinson	Baxter Van Halm	Economics	Faculty of Social Science	0000-0001-5150-6720
Robinson	Christopher	Economics	Faculty of Social Science	
Salcedo	Bruno	Economics	Faculty of Social Science	0000-0002-6328-5918
Sicular	Terry	Economics	Faculty of Social Science	0000-0003-2359-6970
Slivinski	Alan D	Economics	Faculty of Social Science	
Stinebrickner	Todd R	Economics	Faculty of Social Science	0009-0000-7886-072X
Streufert	Peter A	Economics	Faculty of Social Science	0000-0003-4197-7697
Sullivan	Michael Rolland	Economics	Faculty of Social Science	0009-0002-2813-1312
Tarquinio	Lisa	Economics	Faculty of Social Science	
Veloso De Avila Chaves	Daniel	Economics	Faculty of Social Science	0000-0002-7090-2486
Vu	Minh Phuong	Economics	Faculty of Social Science	0009-0000-7661-199X
Whalley	John	Economics	Faculty of Social Science	
