Number,Year,Entry,Journal,Volume/Issue,Pages,Extracted_Journal,Extracted_Volume,Extracted_Issue,Extracted_PageStart,Extracted_PageEnd
134,1955,"Observations on the habitat and food of the queen snake, Natrix septem-  vittata, at London, Ontario. Canadi an Field-Naturalist, 69(4) : 167 - 168. 1957 Diptera (Calliphoridae, Heleidae and Chloropidae) collected from birds’  nests at London, Ontario. Entomolog ical News, 68 (2) : 32 - 34. 1957 Insects reared and collected from th e pond snail, Lymnaea palustris Mull.,  at London, Ontario. Entomological M ews, 68 (3) : 69 - 72. 1957 Phytophaga rigidae (O.S.) (Diptera:] onididae), sawflies (Euura sp.) and  hymenopterous parasites reared from the beaked gall of willow. Canadian Entomologist, 89(1) : 8 - JL. 1957 The food of Jefferson’s salamander, Ambystoma jeffersonianum, in Rondeau  Park, Ontario. Ecology, 38(1) : 77 - 81. 1957 Studies of the Byron Bog in southwee ern Ontario I. Description of the  bog. Canadian Entomologist, 89 (5) : 235 - 238. 1957 Shore birds sprung from sedge stalks , Bulletin of the Federation of  Ontario Naturalists, 76 : 24 - 25. 1957 Crayfish stranded in winter on the tink of Medway Creek, London, Ont.  Canadian Field-Naturalist, 71 (1) : 36. 1957 Chalcidoid wasps (Eulophidae,Eurytom dae) reared from the bullet gall  caused by Disholcaspis mamma (Cresso 1) (Cynipidae). Entomological  News, 68 (7) : 193 - 195. 1957 A collection of insects and milliped ; from fungi in Ontario. Transactions of the American Microsc pical Society, 76(3) : 311 - 316. 1957 A terrestrial turbellarian flatworm collected at London, Ontario.  Canadian Field-Naturalist, 71(3) : 154. 1957 The McIlwraith Ornithological Club e hibits at the Home and Garden  Show in 1957. The Cardinal, 25 : 2 - 3. 1957 Ontario’s insect immigrant the prayi ig mantis. G.A.Clarion (Anglican Church of Cana la), 11(3) : 3,8. 1957  Birds nesting in northeast London in 1957. The Cardinal, 26 : 1 - 4. 1957  Fowler’s toad on the Lake Erie shore. Bulletin of the Federation of Ontario Naturalists, 78 : 13 - 15. 1957 Studies of the Byron Bog in southwes ern Ontario IV. Seasonal distri­ bution of the blackfly, Simulium vit atum Zett. (Diptera:Simuliidae).  Entomological News, 68 (10) : 263 - :65. 1957  Birds of a Lake Erie farm. The Card nal, 27 : 1 - 6. 1957  Studies of the Byron Bog in southwes ern Ontario III. Exyra rolandiana Grt. (Lepidoptera : Phalaenidae) rea 'ed from the pitcher-plant, Sarra­ cenia purpurea L. Canadian Entomolo ist, 89 (12) : 564. 9","Observations on the habitat and food of the queen snake, Natrix septem-  vittata, at London, Ontario. Canadi an Field-Naturalist",69(4),167,Canadi an Field-Naturalist,69,4,167,168
135,1958,"Gall flies (Itonididae) and parasit ic Hymenoptera reared from rosette  galls of willow. Entomological Nev 3, 69(2) : 39 - 42.",Gall flies (Itonididae) and parasit ic Hymenoptera reared from rosette  galls of willow. Entomological Nev 3,69(2),39,Entomological Nev 3,69,2,39,42
136,1957,"A study of the population of emergi ig and littoral insects trapped as  adults from tributary waters of the Thames River at London, Ontario.  American Midland Naturalist, 58(2) : 394 - 412.","A study of the population of emergi ig and littoral insects trapped as  adults from tributary waters of the Thames River at London, Ontario.  American Midland Naturalist",58(2),394,American Midland Naturalist,58,2,394,412
137,1958,"Short-eared owls as mouse catchers n Lobo Township. Bulletin of the Federation of Ontar .0 Naturalists, 79 : 36 - 37.",Short-eared owls as mouse catchers n Lobo Township. Bulletin of the Federation of Ontar .0 Naturalists,79,36,0 Naturalists,79,,36,37
138,1958,"Studies of the Byron Bog in southwe tern Ontario VI. Seasonal distri­ bution of the wood gnat, Silvicola arginata (Say) (Diptera :  Silvicolidae). Entomological News, 69 (3) : 65 - 67.",,,,Entomological News,69,3,65,67
139,1958,"Studies of the Byron Bog in southwe tern Ontario V. Seasonal distrib­ ution of horseflies and deerflies ( abanidae). Canadian Entomologist,  90(4) : 255 - 256.",Studies of the Byron Bog in southwe tern Ontario V. Seasonal distrib­ ution of horseflies and deerflies ( abanidae). Canadian Entomologist,90(4),255,Canadian Entomologist,90,4,255,256
140,1958,"Studies of the Byron Bog in southwe tern Ontario II. The succession  and duration of blooming of plants. Canadian Field-Naturalist, 72 (3):  119 - 121.",,,,Canadian Field-Naturalist,72,3,119,121
141,1958,"Hopping by plane to Tennessee for b. rds. The Heron (Kitchener-Waterloo  Field Naturalists), 1(4) : 1 - 4.",Hopping by plane to Tennessee for b. rds. The Heron (Kitchener-Waterloo  Field Naturalists),1(4),1,The Heron (Kitchener-Waterloo  Field Naturalists),1,4,1,4
142,1958,"Banana spiders hitch-hiking into On ario. Bulletin of the Federation of  Ontario Naturalists, 81 : 14 - 15.",Banana spiders hitch-hiking into On ario. Bulletin of the Federation of  Ontario Naturalists,81,14,Bulletin of the Federation of  Ontario Naturalists,81,,14,15
143,1958,"An evening with Mr. Thomas Hill. T e Cardinal, 29 : 15 - 17.",An evening with Mr. Thomas Hill. T e Cardinal,29,15,T e Cardinal,29,,15,17
144,1958,"Judd,W.W. and R.K.Benjamin The ant Lasius alienus (Foerster) parasitized  by the fungus Laboulbenia formicarii n Thaxter at London, Ontario. Canadian Entomologist, 90(7) : 419.","Judd,W.W. and R.K.Benjamin The ant Lasius alienus (Foerster) parasitized  by the fungus Laboulbenia formicarii n Thaxter at London, Ontario. Canadian Entomologist",90(7),419,Canadian Entomologist,90,7,419,
145,1958,"Birds nesting in northeast London ir 1958. The Cardinal, 30 : 11 - 12.",Birds nesting in northeast London ir 1958. The Cardinal,30,11,The Cardinal,30,,11,12
146,1958,"A colony of the giant slug, Limax ma cimus L., at London, Ontario.  Canadian Field-Naturalist, 72(4) : 3 73.","A colony of the giant slug, Limax ma cimus L., at London, Ontario.  Canadian Field-Naturalist",72(4),3,Canadian Field-Naturalist,72,4,3,
147,1958,"Studies of the Byron Bog in southwes tern Ontario IX. Insects trapped  as adults emerging from Redmond’s Por 1. Canadian Entomologist, 90(10) :  623 - 627.",Studies of the Byron Bog in southwes tern Ontario IX. Insects trapped  as adults emerging from Redmond’s Por 1. Canadian Entomologist,90(10),623,Canadian Entomologist,90,10,623,627
148,1958,"An account of the activities of the icIlwraith Ornithological Club in  "" The Canadian Entomologist "". The Cardinal, 31 : 2 - 3.","An account of the activities of the icIlwraith Ornithological Club in  "" The Canadian Entomologist "". The Cardinal",31,2,The Cardinal,31,,2,3
149,1958,"Studies of the Byron Bog in southwes ern Ontario VIII. Seasonal distr­ ibution of filth flies. American Mi lland Naturalist, 60(1) : 186 - 195.",Studies of the Byron Bog in southwes ern Ontario VIII. Seasonal distr­ ibution of filth flies. American Mi lland Naturalist,60(1),186,American Mi lland Naturalist,60,1,186,195
150,1959,"Biting midges (Culicoides spp.) fron catbird nests at London, Ontario,  Entomological News, 70(2) : 79 - 80.","Biting midges (Culicoides spp.) fron catbird nests at London, Ontario,  Entomological News",70(2),79,,,,,
151,1959,"Studies of the Byron Bog in southwes ern Ontario X. Inquilines and  victims of the pitcher-plant, Sarracnia purpurea L. Canadian  Entomologist, 91(3) : 171 - 180.","Studies of the Byron Bog in southwes ern Ontario X. Inquilines and  victims of the pitcher-plant, Sarracnia purpurea L. Canadian  Entomologist",91(3),171,Canadian  Entomologist,91,3,171,180
152,1959,"The McIlwraith Ornithological Club e hibits at the Home and Garden Show  in 1958 and 1959. The Cardinal, 32  15 - 16. 10",,,,The Cardinal,32,,15,16
153,1959,"Sinea diadema Fabr. (Hemiptera : Rec aviidae) biting a human. Entomological News, 70(5) : 137.",Sinea diadema Fabr. (Hemiptera : Rec aviidae) biting a human. Entomological News,70(5),137,Entomological News,70,5,137,
154,1959,"Nematode worms, Diplotriaena tricusp is (Fedt.), from the body cavity  of a Nashville warbler at London, Or bario. Canadian Field-Naturalist,  73(2) : 130.","Nematode worms, Diplotriaena tricusp is (Fedt.), from the body cavity  of a Nashville warbler at London, Or bario. Canadian Field-Naturalist",73(2),130,Canadian Field-Naturalist,73,2,130,
155,1959,"Three irises blooming at Wonnacott’s farm. Bulletin of the Federation of  Ontario Naturalists, 84 : 16 - 17.",Three irises blooming at Wonnacott’s farm. Bulletin of the Federation of  Ontario Naturalists,84,16,Bulletin of the Federation of  Ontario Naturalists,84,,16,17
156,1959,"Studies of the Byron Bog in southwes ern Ontario VII. Wasps reared from  the blueberry stem gall on Vaccinium atrococcum. Transactions of the  American Microscopical Society, 78(2) : 212 - 214.",Studies of the Byron Bog in southwes ern Ontario VII. Wasps reared from  the blueberry stem gall on Vaccinium atrococcum. Transactions of the  American Microscopical Society,78(2),212,Transactions of the  American Microscopical Society,78,2,212,214
157,1959,"Hymenoptera reared from the mossy ro se gall caused by Diplolepis rose  (L.) (Hymenoptera : Cynipidae). Can idian Entomologist,91(11) : 727 -  730.",Hymenoptera reared from the mossy ro se gall caused by Diplolepis rose  (L.) (Hymenoptera : Cynipidae). Can idian Entomologist,91(11),727,Can idian Entomologist,91,11,727,730
158,1959,"A hornet’s nest in winter. Bulletin of the Federation of Ontario  Naturalists, 86 : 7 - 9.",A hornet’s nest in winter. Bulletin of the Federation of Ontario  Naturalists,86,7,Bulletin of the Federation of Ontario  Naturalists,86,,7,9
159,1959,"Birds of a Lake Erie farm - II. The Cardinal, 35 : 5 - 6.",Birds of a Lake Erie farm - II. The Cardinal,35,5,The Cardinal,35,,5,6
160,1959,"Should preserve old Byron Bog. Lond n Free Press, Oct. 28,1959 : 6.  ( also : 1959 The Cardinal, 35 : 12 - 13. )","Should preserve old Byron Bog. Lond n Free Press, Oct. 28,1959 : 6.  ( also : 1959 The Cardinal",35,12,28,1959,,6,
161,1960,"A bibliography of the natural histor of Hamilton to the year 1950. Wood Duck (Hamilton Nature Club), Su plement to vol 13, no. 5 : 1 - 27.","A bibliography of the natural histor of Hamilton to the year 1950. Wood Duck (Hamilton Nature Club), Su plement to vol 13, no",5,1,,,,,
162,1960,"A study of the population of insects emerging as adults from South Walker  Pond at London, Ontario. American M dland Naturalist, 63(1) : 194 - 210.","A study of the population of insects emerging as adults from South Walker  Pond at London, Ontario. American M dland Naturalist",63(1),194,American M dland Naturalist,63,1,194,210
163,1960,"Studies of the Byron Bog in southwes ern Ontario XI. Seasonal distri­ bution of adult insects in the Chama, daphnetum calyculatae association.  Canadian Entomologist, 92(4) : 241 - 251.","Studies of the Byron Bog in southwes ern Ontario XI. Seasonal distri­ bution of adult insects in the Chama, daphnetum calyculatae association.  Canadian Entomologist",92(4),241,Canadian Entomologist,92,4,241,251
164,1960,"Laelius utilis Cockerell (Hymenoptera : Bethylidae) stinging a child at  London, Ontario. Entomological News. 71(4) : 104.","Laelius utilis Cockerell (Hymenoptera : Bethylidae) stinging a child at  London, Ontario. Entomological News",71(4),104,,,,,
165,1960,"Long-eared owls roosting in Trott’s Swamp at London,Ontario.  The Cardinal, 36 : 1 - 2.","Long-eared owls roosting in Trott’s Swamp at London,Ontario.  The Cardinal",36,1,The Cardinal,36,,1,2
166,1960,"Redwinged blackbirds nesting in a New England aster. Bulletin of the Federation of Ontaric Naturalists, 88 : 28.",Redwinged blackbirds nesting in a New England aster. Bulletin of the Federation of Ontaric Naturalists,88,28,Bulletin of the Federation of Ontaric Naturalists,88,,28,
167,1960,"Observations on the habitat, food, re productive state and intestinal  parasites of the smooth green snake 83 London, Ontario. Canadian Field-Naturalist, 74(2) : 10) - 106.","Observations on the habitat, food, re productive state and intestinal  parasites of the smooth green snake 83 London, Ontario. Canadian Field-Naturalist",74(2),10,Canadian Field-Naturalist,74,2,10,
168,1960,"Ornamental nature plaques made from I ike Erie clay. Bulletin of the  Federation of Ontario Naturalists, 89 : 17 - 18.",Ornamental nature plaques made from I ike Erie clay. Bulletin of the  Federation of Ontario Naturalists,89,17,Bulletin of the  Federation of Ontario Naturalists,89,,17,18
169,1960,"Some records of birds nesting in the vicinity of London in 1960. The Cardinal, 37 : 4 - 5.",Some records of birds nesting in the vicinity of London in 1960. The Cardinal,37,4,The Cardinal,37,,4,5
170,1960,"Birds of a Lake Erie farm III. The ardinal,38 : 2. 11 171. 172. 173. 174. 175. 176. 177. 178. 179. 180. 181. 182. 183. 184. 185. 186. 187. 188.",Birds of a Lake Erie farm III. The ardinal,38,2,The ardinal,38,,2,
189,1961,"Studies of the Byron Bog in southwe; tern Ontario XII. A study of the  population of insects emerging as a ults from Redmond’s Pond in 1957.  American Midland Naturalist, 65(1)  89 - 100. 1961 Insects collected from woodchuck bu: rows in the vicinity of London, Ontario.  Canadian Field-Naturalist, 75(1) : : 6 - 22. 1961 A mud dauber’s nest on the chassis of a car. The Cardinal, 39 : 12. 1961 Insects and other invertebrates asst ciated with flowering skunk cabbage,  Symplocarpus foetidus (L.) Nutt., at Fanshawe Lake, Ontario.  Canadian Entomologist, 93(4) : 241 - 249. 1961 Melanagromyza tiliae (Coud.) (Diptei a : Agromyzidae) reared from linden  bark galls at London, Ontario. Ente mological News, 72(7) : 192 - 193. 1961 Butterflies trapped by their feet ir milkweed flowers. Bulletin of the  Federation of Ontario Naturalists, 9 3 : 7 - 8. 1961 A muskrat living in a ditch at Londe 1, Ontario. Wood Duck (Hamilton  Nature Club), 15 (2) : 26. 1961 Some records of birds nesting in the vicinity of London in 1961.  The Cardinal, 40 : 2 - 3. 1961 Spiders and harvestmen trapped on th 3 surface of Spettigue's Pond at  London, Ontario. Canadian Field-Nat ralist, 75(4) : 238 - 241. 1962 Insects and other invertebrates from nests of the cardinal, Richmondena  cardinalis (L.), at London, Ontario. Canadian Entomologist, 94 (1):  92 - 95. 1962  Queen snakes on the Ausable River at Arkona, Ontario. The Cardinal,41 : 2. 1962  A calico butterfly brought into Lond n, Ontario in bananas. Bulletin of the Federation of Ontario Naturalist , 95 : 14 - 15. 1962 Studies of the Byron Bog in southwes ern Ontario. XIII. Seasonal distri­ bution of wasps (Hymenoptera : Vespi ae). Entomological News, 73(3) :  79 - 81. 1962  Birds of a Lake Erie farm - IV. The Cardinal, 42 : 11 - 12. 1962 he moth Gnorimoschema gallaeastérel a (Kell.) (Gelechiidae) and hymeno­ pterous parasites reared from spindl . galls on goldenrod. Transactions of the American Microsc pical Society, 81(2) : 202 - 204. 1962 Observations on the food of the blue tailed skink in Rondeau Park,Ontario,  Canadian Field-Naturalist, 76(2) : 8 - 89. 1962 Insects reared from the many-spined ■ wig gall of rose caused by Diplolepis  multispinosa (Gillette) (Hymenoptera : Cynipidae). Canadian Entomologist,  94(9) : 963 - 966. 1962  Food of long-eared owls in the Byron Bog. The Cardinal, 43 : 4. 1962  ihe mosquito Psorophora ciliata (Fab: .) at London,Ontario. Mosquito News, 22(3) : 304. 12","Studies of the Byron Bog in southwe; tern Ontario XII. A study of the  population of insects emerging as a ults from Redmond’s Pond in 1957.  American Midland Naturalist, 65(1)  89 - 100. 1961 Insects collected from woodchuck bu: rows in the vicinity of London, Ontario.  Canadian Field-Naturalist, 75(1) : : 6 - 22. 1961 A mud dauber’s nest on the chassis of a car. The Cardinal",39,12,American Midland Naturalist,65,1,89,100
190,1962,"A study of the population of insect  Greek: at Arva, Ontario. American M emerging as adults from Medway  dland Naturalist, 68 (2) : 463 - 473.",,,,American M emerging as adults from Medway  dland Naturalist,68,2,463,473
191,1962,"Observations on some snakes and tur  Ontario. Ontario Field Biologist, les captured in southwestern  6 : 25 - 28.",,,,,,,,
192,1963,"An afternoon with Mr. Lorne E. Kame . The Cardinal, 44 : 10 — 12.",An afternoon with Mr. Lorne E. Kame . The Cardinal,44,10,The Cardinal,44,,10,
193,1963,"Molluscs and arthropods from cardin  Canadian Entomologist, 95(3) : 327 ■ I nests at London, Ontario.  333.",Molluscs and arthropods from cardin  Canadian Entomologist,95(3),327,,,,,
194,1963,"Insects reared from the red pouch g  of oak at London, Ontario. Canadian 11 of sumac and the rough bullet gall  Field-Naturalist, 77 : 63 - 64.","Insects reared from the red pouch g  of oak at London, Ontario. Canadian 11 of sumac and the rough bullet gall  Field-Naturalist",77,63,Canadian 11 of sumac and the rough bullet gall  Field-Naturalist,77,,63,64
195,1963,"Some records of birds nesting in the  The Cardinal, 45 : 6. vicinity of London in 1962.",Some records of birds nesting in the  The Cardinal,45,6,,,,,
196,1963,"Studies of the Byron Bog in southwe:  on sowbugs Cylisticus convexus (DeG  (Brandt) (Isopoda : Onoscidae). Ecc tern Ontario XIV, Observations  er) and Tracheoniscus rathkei  logy, 44(3) : 615 - 617.","Studies of the Byron Bog in southwe:  on sowbugs Cylisticus convexus (DeG  (Brandt) (Isopoda : Onoscidae). Ecc tern Ontario XIV, Observations  er) and Tracheoniscus rathkei  logy",44(3),615,,,,,
197,1963,"Studies of the Byron Bog in southwes  some fungi in the bog. Canadian Fie tern Ontario XV. Distribution of  ld-Naturalist, 77(3) : 177.",Studies of the Byron Bog in southwes  some fungi in the bog. Canadian Fie tern Ontario XV. Distribution of  ld-Naturalist,77(3),177,Distribution of  ld-Naturalist,77,3,177,
198,1963,"A young kingfisher fallen from its i  1 (3) : 33 - 34. est. The Ontario Naturalist,",,,,,,,,
199,1963,"Nests of the Baltimore oriole along  The Cardinal, 47 : 7 - 8. some roads in southern Ontario.",Nests of the Baltimore oriole along  The Cardinal,47,7,,,,,
200,1963,"Studies of the Byron Bog in southwes  distribution of Hemiptera (Corixidae  Nepidae) in Redmond’s Pond. Canadia tern Ontario XVII. Seasonal ,Notonectidae,Belostomatidae, i Entomologist, 95(10) : 1109 - 1111.","Studies of the Byron Bog in southwes  distribution of Hemiptera (Corixidae  Nepidae) in Redmond’s Pond. Canadia tern Ontario XVII. Seasonal ,Notonectidae,Belostomatidae, i Entomologist",95(10),1109,,,,,
201,1963,"Moths camouflaged in mayapple flower  1 (4) : 21. 3. The Ontario Naturalist,",,,,,,,,
202,1963,"Butterflies of Dünn Township, Ontari ). Ontario Field Biologist,17 : 1 - 14","Butterflies of Dünn Township, Ontari ). Ontario Field Biologist",17,1,Ontario Field Biologist,17,,1,14
203,1963,"Studies of the Byron Bog in southwes  on the life cycles of two species oí  Natural History Papers, National Mus tern Ontario XVI. Observations Crangonyx (Crustacea : Amphipoda).  um of Canada, No. 20.",,,,,,,,
204,1964,"What became of the four sections of  The Cardinal, 48 : 3 - 5. he Entomological Society of Ontario?",What became of the four sections of  The Cardinal,48,3,,,,,
205,1964,"Western and the Byron Bog. The Gaze  72(32) : 2. (Tuesday, Jan. 28). te (University of Western Ontario),",,,,,,,,
206,1964,"A weevil in the ear of a child at Lo Canadian Field-Naturalist, 78(1) : 6 don, Ontario. - - 62.",A weevil in the ear of a child at Lo Canadian Field-Naturalist,78(1),6,,,,,
207,1964,"A study of the population of insects  Pond at London, Ontario. American M emerging as adults from Saunders  .dland Naturalist,71(2) : 402 - 414.","A study of the population of insects  Pond at London, Ontario. American M emerging as adults from Saunders  .dland Naturalist",71(2),402,dland Naturalist,71,2,402,414
208,1964,"Birds of a Lake Erie farm - V. The ardinal, 49 : 4 - 5.",Birds of a Lake Erie farm - V. The ardinal,49,4,The ardinal,49,,4,5
209,1964,"The Byron Bog in southwestern Ontari . Canadian Entomologist,96(1,2) : 121",,,,Canadian Entomologist,96,"1,2",121,
210,1964,"13 English sparrows nesting in a tree. The Ontario Naturalist,2(2) : 7.",13 English sparrows nesting in a tree. The Ontario Naturalist,2(2),7,The Ontario Naturalist,2,2,7,
211,1964,"Insects and spiders from goldenrod galls of Gnorimoschema gallae-  solidaginis Riley (Gelechiidae). C anadian Entomologist, 96(7):  987 - 990.",Insects and spiders from goldenrod galls of Gnorimoschema gallae-  solidaginis Riley (Gelechiidae). C anadian Entomologist,96(7),987,C anadian Entomologist,96,7,987,990
212,1964,"Some records of birds nesting in th : vicinity of London in 1963 and  1964. The Cardinal, 50 : 3 - 4.",Some records of birds nesting in th : vicinity of London in 1963 and  1964. The Cardinal,50,3,The Cardinal,50,,3,4
213,1964,"Judd, W.W. and J.M.Speirs (Editors) A Naturalist’s Guide to Ontario.  Published for Federation of Ontario Naturalists by University of  Toronto Press, i - ix, 210 pages.",,,,,,,,
214,1964,"Studies of the Byron Bog in southwe: tern Ontario XIX. Distribution  of earthworms. National Museum of ( anada, Natural History Papers,  No. 25.",,,,,,,,
215,1964,"Studies of the Byron Bog in southwes tern Ontario XXI. Distribution  of centipeds (Chilopoda) and millipe is (Diplopoda). National Museum  of Canada, Natural History Papers, A . 26.",,,,,,,,
216,1964,"Insects associated with flowering ma sh marigold, Caltha palustris L.,  at London, Ontario. Canadian Entomo ogist, 96(11) : 1472 - 1476.","Insects associated with flowering ma sh marigold, Caltha palustris L.,  at London, Ontario. Canadian Entomo ogist",96(11),1472,Canadian Entomo ogist,96,11,1472,1476
217,1964,"Ornamental birds made from goldenrod galls. The Ontario Naturalist,  2(4) : 7.",Ornamental birds made from goldenrod galls. The Ontario Naturalist,2(4),7,The Ontario Naturalist,2,4,7,
218,1965,"Studies of the Byron Bog in southwes ern Ontario XVIII. Distribution  of harvestmen and spiders in the bog National Museum of Canada,  Natural History Papers, No. 28.",,,,,,,,
219,1965,"Some glimpses of nature around London before 1850. The Cardinal, 51 :  5 - 7.",Some glimpses of nature around London before 1850. The Cardinal,51,5,The Cardinal,51,,5,7
220,1965,"The genesis of "" A Naturalist’s Guide to Ontario "". The Cardinal, 51 :  11 - 12.","The genesis of "" A Naturalist’s Guide to Ontario "". The Cardinal",51,11,The Cardinal,51,,11,12
221,1965,"The botanical section of the Entomolo zical Society of Ontario.  The Cardinal, 52 : 15 - 19.",The botanical section of the Entomolo zical Society of Ontario.  The Cardinal,52,15,The Cardinal,52,,15,19
222,1965,"Studies of the Byron Bog in southwest rn Ontario. XX. Insects and  millipeds associated with fungi. Can udian Field-Naturalist, 79 (1) :  25 - 28.",,,,Can udian Field-Naturalist,79,1,25,28
223,1965,"Joseph H. C. Dempsey, botanist of Ham Iton, Ontario. Wood Duck (Hamilton Nature Club), 19( ) : 138 - 140.",,,,Wood Duck (Hamilton Nature Club),19, ,138,140
224,1965,"The Geological Section of the Entomol gical Society of Ontario. The Cardinal, 53 : 15 - 18.",The Geological Section of the Entomol gical Society of Ontario. The Cardinal,53,15,The Cardinal,53,,15,18
225,1965,"Studies of the Byron Bog in southwest rn Ontario XXII. Observations  on toads, frogs and turtles. Canadian Field-Naturalist, 79 (2) :  142 - 144.",,,,Canadian Field-Naturalist,79,2,142,144
226,1965,"insect Spiders and their prey from heads of c c-eye daisy, Chrysanthemum leuc-  anthemum L., in southwestern Ontario. Proceedings of the Entomological  Society of Ontario (1964), 95 : 137 - 139.","insect Spiders and their prey from heads of c c-eye daisy, Chrysanthemum leuc-  anthemum L., in southwestern Ontario. Proceedings of the Entomological  Society of Ontario (1964)",95,137,Proceedings of the Entomological  Society of Ontario (1964),95,,137,139
227,1965,"Terrestrial sowbugs (Crustacea : Isopo la) in the vicinity of London,  Ontario. Canadian Field-Naturalist, 79(3) : 197 - 202. 14","Terrestrial sowbugs (Crustacea : Isopo la) in the vicinity of London,  Ontario. Canadian Field-Naturalist",79(3),197,Canadian Field-Naturalist,79,3,197,202
228,1965,"An assemblage of lady beetles. Ont ario Naturalist, 3(4) : 23 - 24.",An assemblage of lady beetles. Ont ario Naturalist,3(4),23,Ont ario Naturalist,3,4,23,24
229,1965,"Two black widow spiders (Latrodectu 3 variolus Walckenaer) in southwestern  Ontario. Ontario Field Biologist, L9 : 24 - 25.",,,,,,,,
230,1966,"Studies of the Byron Bog in southwe stern Ontario XXVI. Distribution of  shrubs and vines. Michigan Botanis , 5(2) : 51 - 56.",Studies of the Byron Bog in southwe stern Ontario XXVI. Distribution of  shrubs and vines. Michigan Botanis,5(2),51,Michigan Botanis,5,2,51,56
231,1966,"Studies of the Byron Bog in southwe stern Ontario XXIV. Distribution of  fingernail and pill clams (Pelecypo La : Sphaeriidae). National Museum  of Canada, Natural History Papers, o. 33.",,,,,,,,
232,1966,"The Microscopical Section of the En omological Society of Ontario. The Cardinal, 55 : 7 - 10.",The Microscopical Section of the En omological Society of Ontario. The Cardinal,55,7,The Cardinal,55,,7,10
233,1966,"Studies of the Byron Bog in southwe tern Ontario. XXIII. Insects  associated with flowering leatherle f, Chamaedaphne calyculata (L.)  Moench. Transactions of the Ämeric n- Microscopical Society, 85(2) :  302 - 305.","Studies of the Byron Bog in southwe tern Ontario. XXIII. Insects  associated with flowering leatherle f, Chamaedaphne calyculata (L.)  Moench. Transactions of the Ämeric n- Microscopical Society",85(2),302,Transactions of the Ämeric n- Microscopical Society,85,2,302,305
234,1966,"An account of a trip through the By on Bog in the year 1912.  The Cardinal, 56 : 6 - 12.",An account of a trip through the By on Bog in the year 1912.  The Cardinal,56,6,The Cardinal,56,,6,12
235,1966,"€ Singh,S.B. and W.W.Judd A comparat. ve study of the alimantary canal of  adult calyptrate Diptera. Proceedi gs of the Entomological Society of  Ontario (1965), 96 : 29 - 80.","€ Singh,S.B. and W.W.Judd A comparat. ve study of the alimantary canal of  adult calyptrate Diptera. Proceedi gs of the Entomological Society of  Ontario (1965)",96,29,Proceedi gs of the Entomological Society of  Ontario (1965),96,,29,80
236,1966,"Studies of the Byron Bog in southwe: tern Ontario XXVII. Insects  associated with flowering blueberry Vaccinium atrococcum (Gray) Heller.  Canadian Field-Naturalist, 80(4) : :42 - 244.",,,,,,,,
237,1966,"Studies of the Byron Bog in southwes tern Ontario XXV. Observations on  the occurrence of some mammals. Ont ario Field Biologist, 20 : 10 - 13.",Studies of the Byron Bog in southwes tern Ontario XXV. Observations on  the occurrence of some mammals. Ont ario Field Biologist,20,10,Ont ario Field Biologist,20,,10,13
238,1967,"Insects and other arthropods from ye ar-old galls caused by Gnorimoschema  gallaesolidaginis Riley (Lepidoptera : Gelechiidae).on goldenrod. Canadian Journal of Zoology, 45(1) : 49 - 56.",Insects and other arthropods from ye ar-old galls caused by Gnorimoschema  gallaesolidaginis Riley (Lepidoptera : Gelechiidae).on goldenrod. Canadian Journal of Zoology,45(1),49,Canadian Journal of Zoology,45,1,49,56
239,1967,"Report No. 1 of the archivist of the McIlwraith Field Naturalists’ Club.  The Cardinal, 57 : 8 - 10.",Report No. 1 of the archivist of the McIlwraith Field Naturalists’ Club.  The Cardinal,57,8,The Cardinal,57,,8,10
240,1967,"Insects from McConnell River, N.W.T. Entomological News,78(2) : 50 - 55.","Insects from McConnell River, N.W.T. Entomological News",78(2),50,Entomological News,78,2,50,55
241,1967,"The executives of the McIlwraith Clu >, 1890 - 1966. The Cardinal, 58 :  14 - 17.","The executives of the McIlwraith Clu >, 1890 - 1966. The Cardinal",58,14,The Cardinal,58,,14,17
242,1967,"Report No. 2 of the archivist of the McIlwraith Field Naturalist's Club.  The Cardinal, 58 : 17 - 19.",Report No. 2 of the archivist of the McIlwraith Field Naturalist's Club.  The Cardinal,58,17,The Cardinal,58,,17,19
243,1967,"A large wolf spider from southern Or ario. Young Naturalist (Federation  of Ontario Naturalists), 9(6) : 2.",A large wolf spider from southern Or ario. Young Naturalist (Federation  of Ontario Naturalists),9(6),2,Young Naturalist (Federation  of Ontario Naturalists),9,6,2,
244,1967,"Studies of the Byron Bog in southwes ern Ontario XXVIII. Distribution  of club-mosses and ferns. Canadian ield-Naturalist, 81(2) : 110 - 113.",Studies of the Byron Bog in southwes ern Ontario XXVIII. Distribution  of club-mosses and ferns. Canadian ield-Naturalist,81(2),110,Canadian ield-Naturalist,81,2,110,113
245,1967,"An early record of the map turtle at London, Ontario. Canadian Amphibian  and Reptile Conservation Society, 5(>) : 3 - 4.",,,,Canadian Amphibian  and Reptile Conservation Society,5,>,3,4
246,1966,"Insects reared and collected from se 'en galls of willow, oak, hickory and  rose in southern Ontario, Canada. M rcellia, 33(4) : 255 - 259. 15","Insects reared and collected from se 'en galls of willow, oak, hickory and  rose in southern Ontario, Canada. M rcellia",33(4),255,M rcellia,33,4,255,259
